(2014-08-13 11:45:08,619) INFO   [ContextLoader.initWebApplicationContext():273] - Root WebApplicationContext: initialization started
(2014-08-13 11:45:08,760) INFO   [AbstractApplicationContext.prepareRefresh():495] - Refreshing Root WebApplicationContext: startup date [Wed Aug 13 11:45:08 CST 2014]; root of context hierarchy
(2014-08-13 11:45:08,846) INFO   [XmlBeanDefinitionReader.loadBeanDefinitions():315] - Loading XML bean definitions from class path resource [applicationContext.xml]
(2014-08-13 11:45:39,463) INFO   [ContextLoader.initWebApplicationContext():273] - Root WebApplicationContext: initialization started
(2014-08-13 11:45:39,574) INFO   [AbstractApplicationContext.prepareRefresh():495] - Refreshing Root WebApplicationContext: startup date [Wed Aug 13 11:45:39 CST 2014]; root of context hierarchy
(2014-08-13 11:45:39,640) INFO   [XmlBeanDefinitionReader.loadBeanDefinitions():315] - Loading XML bean definitions from class path resource [applicationContext.xml]
(2014-08-13 11:45:40,458) INFO   [PropertiesLoaderSupport.loadProperties():177] - Loading properties file from URL [file:/E:/workspace/alfred/alfred-push/target/classes/jdbc.properties]
(2014-08-13 11:45:40,459) INFO   [PropertiesLoaderSupport.loadProperties():177] - Loading properties file from URL [file:/E:/workspace/alfred/alfred-push/target/classes/config.properties]
(2014-08-13 11:45:40,538) INFO   [DefaultListableBeanFactory.preInstantiateSingletons():557] - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1ca23ad: defining beans [propertyHolder,dataSource,jdbcTemplate,transactionManager,sqlSessionFactory,sqlSessionTemplate,org.mybatis.spring.mapper.MapperScannerConfigurer#0,bohHoldSettlementService,companyService,happyHourService,happyHourWeekService,inventoryMaterialStockService,inventoryRawMaterialService,inventoryRecipeMaterialService,inventorySupplierService,itemCategoryService,itemDetailService,itemHappyHourService,itemMainCategoryService,itemModifierService,modifierService,orderDetailService,orderService,paymentSettlementService,placesService,printerGroupService,printerService,receiveMsgLogService,reportDaySalesService,reportDayTaxService,reportHourlyService,reportPluDayItemService,reportPluDayModifierService,restaurantService,revenueCenterService,roundAmountService,roundRuleService,settlementRestaurantService,tablesService,taxService,userPermissionService,userRestaurantService,userService,userTimeSheetService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,bohHoldSettlementMapper,cardsSettlementMapper,cashInOutMapper,companyMapper,happyHourMapper,happyHoursDetailsMapper,happyHourTblMapper,happyHourWeekMapper,inventoryMaterialStockMapper,inventoryRawMaterialMapper,inventoryRecipeMaterialMapper,inventorySupplierMapper,itemCategoryMapper,itemDetailMapper,itemHappyHourMapper,itemMainCategoryMapper,itemModifierMapper,modifierMapper,netsSettlementMapper,nonChargableSettlementMapper,orderBillMapper,orderDetailMapper,orderDetailTaxMapper,orderMapper,orderModifierMapper,orderSplitMapper,paymentMapper,paymentSettlementMapper,permissionMapper,placesMapper,printerGroupMapper,printerMapper,receiveMsgLogMapper,reportDaySalesMapper,reportDayTaxMapper,reportHourlyMapper,reportPluDayItemMapper,reportPluDayModifierMapper,restaurantMapper,revenueCenterMapper,roundAmountMapper,roundRuleMapper,settlementRestaurantMapper,tablesMapper,taxCategoryMapper,taxMapper,userMapper,userPermissionMapper,userRestaurantMapper,userTimeSheetMapper,voidSettlementMapper,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
(2014-08-13 11:45:40,551) INFO   [MLog.<clinit>():80] - MLog clients using log4j logging.
(2014-08-13 11:45:40,755) INFO   [C3P0Registry.banner():204] - Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
(2014-08-13 11:45:41,206) INFO   [AbstractPoolBackedDataSource.getPoolManager():462] - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> true, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 5000, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hge0wc931l0e7g3en1xae|67251675, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge0wc931l0e7g3en1xae|67251675, idleConnectionTestPeriod -> 0, initialPoolSize -> 10, jdbcUrl -> jdbc:mysql://localhost:3306/alfred-clound?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&failOverReadOnly=false, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 7200, maxIdleTimeExcessConnections -> 1800, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 10, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
